Month,Passengers,Time,Month_num,Year,Prev_Passengers,Predicted
1949-02-01,118,1,2,1949,112.0,116.01304893658136
1949-03-01,132,2,3,1949,118.0,119.68146124014538
1949-04-01,129,3,4,1949,132.0,129.54748005175225
1949-05-01,121,4,5,1949,129.0,126.24358503376817
1949-06-01,135,5,6,1949,121.0,119.06618594825733
1949-07-01,148,6,7,1949,135.0,128.9322047598642
1949-08-01,148,7,8,1949,148.0,138.02352275796568
1949-09-01,136,8,9,1949,148.0,137.04373018049762
1949-10-01,119,9,10,1949,136.0,126.76752784096539
1949-11-01,104,10,11,1949,119.0,112.61782143390639
1949-12-01,118,11,12,1949,104.0,100.01751665385808
1950-01-01,115,12,1,1950,118.0,128.99872789193404
1950-02-01,126,13,2,1950,115.0,125.69483287394996
1950-03-01,141,14,3,1950,126.0,133.23674924504076
1950-04-01,135,15,4,1950,141.0,143.87746887015294
1950-05-01,125,16,5,1950,135.0,138.2494714116528
1950-06-01,149,17,6,1950,125.0,129.52267069913125
1950-07-01,170,18,7,1950,149.0,147.1356976457916
1950-08-01,170,19,8,1950,170.0,162.42462215193592
1950-09-01,158,20,9,1950,170.0,161.44482957446786
1950-10-01,133,21,10,1950,158.0,151.16862723493563
1950-11-01,114,22,11,1950,133.0,130.82131431983385
1950-12-01,140,23,12,1950,114.0,115.12220628576415
1951-01-01,145,24,1,1951,140.0,153.39982728590434
1951-02-01,150,25,2,1951,145.0,156.29353877596304
1951-03-01,178,26,3,1951,150.0,159.18725026602175
1951-04-01,163,27,4,1951,178.0,179.89908046670348
1951-05-01,172,28,5,1951,163.0,167.29877568665518
1951-06-01,178,29,6,1951,172.0,173.29129043073533
1951-07-01,199,30,7,1951,178.0,176.95970273429936
1951-08-01,199,31,8,1951,199.0,192.24862724044362
1951-09-01,184,32,9,1951,199.0,191.26883466297556
1951-10-01,162,33,10,1951,184.0,178.66852988292726
1951-11-01,146,34,11,1951,162.0,160.6453194083415
1951-12-01,166,35,12,1951,146.0,147.27031381478787
1952-01-01,171,36,1,1952,166.0,180.89972993389597
1952-02-01,180,37,2,1952,171.0,183.79344142395468
1952-03-01,193,38,3,1952,180.0,189.78595616803477
1952-04-01,181,39,4,1952,193.0,198.87727416613632
1952-05-01,183,40,5,1952,181.0,188.60107182660408
1952-06-01,218,41,6,1952,183.0,189.17068087614666
1952-07-01,230,42,7,1952,218.0,215.3054167713659
1952-08-01,242,43,8,1952,230.0,223.62203395596202
1952-09-01,209,44,9,1952,242.0,231.93865114055825
1952-10-01,191,45,10,1952,209.0,205.39373171741363
1952-11-01,172,46,11,1952,191.0,190.46932449684925
1952-12-01,194,47,12,1952,172.0,174.77021646277956
1953-01-01,196,48,1,1953,194.0,209.9490342088983
1953-02-01,196,49,2,1953,196.0,210.518643258441
1953-03-01,236,50,3,1953,196.0,209.53885068097293
1953-04-01,235,51,4,1953,236.0,239.5470906437189
1953-05-01,229,52,5,1953,235.0,237.7925972527455
1953-06-01,243,53,6,1953,229.0,232.1645997942453
1953-07-01,264,54,7,1953,243.0,242.03061860585217
1953-08-01,272,55,8,1953,264.0,257.3195431119965
